"jobSkills","count"
"Japanese",39
"Language",12
"Translation",11
"Communication",10
"Interpreting",8
"Interpretation",8
"Listening",1
"Accuracy",0
"Attention to Detail",0
"Multitasking",0
"Time Management",0
"Transcription",0
"Quality Control",0
"Editing",0
"Proofreading",0
"Voice-over",0
"Dubbing",0
"Subtitling",0
"Transliteration",0
"Project Management",0
"Multilingualism",0
"Terminology",0
"Translation Memory",0
"Bilingualism",0
"Linguistics",0
"Culture",0
"Localization",0
"Editing",0
"Proofreading",0
"Vocabulary",0
"Grammar",0
"Speaking",0
"Reading",0
"Writing",0
"Fluency",0
"Adaptability",0
